name,age,image,crime_type,location,arrest_date,status
Virat Kohli,22,criminal1.png,Leadercrime,Bengaluru,2021-08-12,Wanted
Rohit Sharma,50,criminal2.png,Captaincrime,Mumbai,2020-03-10,Arrested
Jasprit Bumrah,28,criminal3.png,weaponcrime,Punjab,2022-01-15,Wanted
Prathamesh Sangole,21,Profile Pic.png,crime,Amt,2022-01-15,Wanted
Yash Sharma,22,yashSharma.jpg,Murder,Pune,2024/08/24,Arrest
Purvesh Badkas,21,PURVESH.jpg,theif,Amravati,30/11/2020,Jail Broken
Yash Bhatkar,69,bhatkar.jpg,Rapist,Akola,2024/08/24,Arrest
Anjali Mehta,28,f-005-01.jpg,Fraud,Mumbai,2021-11-02,Released
Pooja Verma,25,f-006-01.jpg,Smuggling,Chennai,2019-05-23,Released
Sanya Rao,29,f-007-01.jpg,Cybercrime,Hyderabad,2020-09-14,Released
Isha Gupta,27,f-008-01.jpg,Theft,Jaipur,2021-06-18,Under Investigation
Neha Nair,31,f-009-01.jpg,Fraud,Ahmedabad,2020-11-09,Released
Priya Chawla,24,f-010-01.jpg,Burglary,Chandigarh,2021-01-30,Released
Ritika Saxena,26,f-011-01.jpg,Drug Trafficking,Indore,2020-03-11,On Bail
Divya Mishra,28,f-012-01.jpg,Assault,Nagpur,2018-06-17,Arrested
Anika Singh,30,f-013-01.jpg,Smuggling,Coimbatore,2020-08-08,Released
Shreya Kapoor,25,f-014-01.jpg,Cybercrime,Trivandrum,2021-07-29,Wanted
Kriti Sharma,29,f-015-01.jpg,Theft,Guwahati,2020-10-20,On Bail
Neelam Verma,27,f-016-01.jpg,Fraud,Ranchi,2021-05-13,Released
Meera Joshi,24,f-017-01.jpg,Burglary,Amritsar,2020-06-30,Released
Sneha Desai,26,f-018-01.jpg,Drug Trafficking,Mumbai,2019-08-15,Wanted
Anushka Roy,28,f-019-01.jpg,Assault,Bengaluru,2020-12-17,On Bail
Priyanka Singh,31,f-020-01.jpg,Smuggling,Kolkata,2019-09-23,Released
Radhika Sharma,27,f-021-01.jpg,Cybercrime,Hyderabad,2021-04-09,Released
Tanya Mehra,25,f-022-01.jpg,Theft,Surat,2019-11-07,Arrested
Simran Kaur,29,f-023-01.jpg,Fraud,Ahmedabad,2018-08-28,Under Investigation
Anita Bhatia,32,f-024-01.jpg,Theft,Delhi,2022-03-15,Arrested
Pallavi Agarwal,28,f-025-01.jpg,Assault,Mumbai,2021-11-02,Released
Sonia Kapoor,30,f-026-01.jpg,Burglary,Bengaluru,2020-07-19,Arrested
Ritu Verma,27,f-027-01.jpg,Cybercrime,Chennai,2019-05-23,Released
Kavita Rao,29,f-028-01.jpg,Drug Trafficking,Hyderabad,2020-09-14,On Bail
Megha Nair,31,f-029-01.jpg,Fraud,Ahmedabad,2020-11-09,Released
